"grappe","hhweight"
7,518.303466796875
53,683.593627929688
85,764.385681152344
17,335.467834472656
19,498.520904541016
55,614.432189941406
61,715.303039550781
25,482.840606689453
35,739.865478515625
5,302.120697021484
65,824.920837402344
57,498.140625
63,525.230529785156
41,556.695068359375
37,641.090209960938
47,614.466186523438
33,497.067718505859
45,884.816162109375
23,652.773498535156
39,874.916076660156
59,454.123107910156
31,743.110534667969
81,350.731658935547
77,605.446533203125
79,498.578552246094
11,309.685638427734
83,605.48828125
15,540.435607910156
9,528.238830566406
21,530.739501953125
43,722.816711425781
49,386.681671142578
27,501.935974121094
29,384.963073730469
51,632.638610839844
13,587.516296386719
3,533.025817871094
1,1749.83215332031
42,561.873291015625
8,279.429321289063
56,465.658996582031
58,656.91943359375
52,539.007995605469
14,617.504333496094
78,563.59521484375
82,430.171569824219
80,603.549438476563
54,365.461730957031
84,549.894348144531
30,447.158294677734
40,748.888244628906
12,515.531127929688
16,369.490295410156
28,558.947875976563
26,354.073608398438
4,276.494476318359
76,2808.64868164063
22,446.705261230469
86,640.374877929688
62,678.442260742188
38,556.365295410156
46,674.069641113281
44,567.60498046875
6,354.943420410156
60,621.852966308594
2,266.317016601563
34,476.552276611328
64,658.671325683594
36,439.187561035156
32,360.76416015625
18,379.019897460938
48,608.004272460938
20,503.595764160156
10,271.430480957031
50,502.146362304688
24,416.390502929688
74,111.17652130127
66,136.017349243164
72,142.425445556641
70,103.887939453125
68,121.158302307129
71,123.075996398926
69,155.548233032227
75,131.807083129883
67,203.738616943359
73,200.256210327148
110,179.78352355957
108,132.87126159668
114,156.57096862793
112,166.941848754883
118,151.12629699707
87,210.482696533203
104,184.772033691406
116,218.939376831055
122,135.924255371094
106,192.625213623047
120,156.751358032227
88,281.9033203125
107,152.395248413086
111,121.707954406738
105,149.09553527832
121,128.982574462891
123,217.264877319336
119,151.226623535156
109,164.690872192383
113,140.95166015625
115,132.68896484375
117,144.862442016602
101,134.128921508789
95,199.337783813477
91,176.674072265625
125,208.186172485352
93,212.90251159668
97,144.810562133789
89,259.842864990234
99,181.050109863281
103,167.466003417969
102,159.345520019531
90,222.161743164063
100,256.172698974609
92,214.076599121094
98,105.862762451172
96,213.403762817383
124,208.997192382813
94,255.830673217773
126,237.10481262207
152,123.8896484375
148,132.999176025391
139,116.063957214355
127,101.101005554199
141,104.736854553223
143,111.793197631836
137,120.585922241211
154,103.964981079102
135,95.0641860961914
133,114.040962219238
150,119.871246337891
149,101.288551330566
138,108.030494689941
136,97.4098434448242
155,148.905548095703
142,102.932426452637
144,101.41561126709
140,101.169662475586
153,108.694854736328
134,99.3158111572266
128,75.4125518798828
151,101.499565124512
161,467.236877441406
157,583.362976074219
171,636.596618652344
165,454.258087158203
145,402.637847900391
147,531.012023925781
129,481.601745605469
131,498.913970947266
167,529.309387207031
169,511.871276855469
163,579.179016113281
159,593.207580566406
158,605.516967773438
172,451.787567138672
166,347.087585449219
160,579.943786621094
164,520.631408691406
146,404.935516357422
170,617.698303222656
162,548.033020019531
132,617.611755371094
130,590.566955566406
168,612.507446289063
156,749.201232910156
206,167.438674926758
177,180.047775268555
179,237.268203735352
186,232.295318603516
200,176.571685791016
175,183.354064941406
173,207.256393432617
202,245.120559692383
210,153.274032592773
204,134.881149291992
208,237.063842773438
203,212.498199462891
205,117.989654541016
187,272.489318847656
185,171.927780151367
178,233.109283447266
176,164.270065307617
209,184.141235351563
207,151.897369384766
201,165.93635559082
174,187.847030639648
211,207.620391845703
197,186.005187988281
182,241.121887207031
213,291.68359375
184,238.718017578125
195,81.7736206054688
189,210.071853637695
199,192.506927490234
191,193.950653076172
193,231.654602050781
180,171.304061889648
212,250.187652587891
188,213.517150878906
214,188.215103149414
183,186.094375610352
198,228.407669067383
194,548.889831542969
196,276.600524902344
192,311.200256347656
190,257.348236083984
181,279.722717285156
241,172.537704467773
217,227.345916748047
215,122.150444030762
224,114.266693115234
222,113.442848205566
226,99.5226058959961
228,100.096633911133
230,146.563507080078
221,108.51872253418
225,82.1719818115234
245,133.992446899414
216,102.29125213623
229,169.099075317383
227,117.47607421875
223,95.9948654174805
231,157.518341064453
233,140.237899780273
235,225.003540039063
244,190.327850341797
239,229.880157470703
237,145.031021118164
249,191.919692993164
247,199.682632446289
218,211.874389648438
220,217.781204223633
242,182.678298950195
219,281.475128173828
248,241.948822021484
236,261.236999511719
243,290.963073730469
240,231.658935546875
232,193.496337890625
250,315.998992919922
246,268.040710449219
234,256.040222167969
238,232.44157409668
257,131.958999633789
290,188.121475219727
269,123.23641204834
251,148.883346557617
253,161.160003662109
278,156.683334350586
261,172.495407104492
263,158.320053100586
267,140.200012207031
255,204.119567871094
259,158.094421386719
265,187.208267211914
262,130.779495239258
266,139.908493041992
252,196.649154663086
260,133.804794311523
279,148.976638793945
258,170.121704101563
270,152.112991333008
264,186.692260742188
291,166.853851318359
254,205.013732910156
256,194.662811279297
268,186.347061157227
287,241.367858886719
277,243.130340576172
275,260.002685546875
285,269.806701660156
293,269.278717041016
271,253.839691162109
273,258.880249023438
281,217.634902954102
283,275.804595947266
289,242.791625976563
274,294.935455322266
286,279.55615234375
272,234.432144165039
288,202.978820800781
292,242.446929931641
280,272.517852783203
294,257.599853515625
282,245.515884399414
276,202.039108276367
284,400.037414550781
331,322.738708496094
297,295.485229492188
323,550.029724121094
327,367.231323242188
301,265.238708496094
329,326.408081054688
333,630.093933105469
303,728.159973144531
315,447.531005859375
299,353.079772949219
295,367.962738037109
305,380.597778320313
325,286.161651611328
306,595.924255371094
332,475.29150390625
328,418.747283935547
298,323.648529052734
330,353.995849609375
300,491.982574462891
304,480.805419921875
302,408.078582763672
316,350.804351806641
334,473.897705078125
296,478.034881591797
324,395.712524414063
326,399.750427246094
339,304.355285644531
321,251.954498291016
337,341.764862060547
319,423.923431396484
307,400.107513427734
335,322.850769042969
311,287.173919677734
309,335.939331054688
317,392.377105712891
341,308.175720214844
313,418.980499267578
310,377.562408447266
312,262.196105957031
340,342.998687744141
308,315.861968994141
314,344.528198242188
322,329.554321289063
336,532.218933105469
320,349.594787597656
318,369.920074462891
342,374.272094726563
338,361.056945800781
372,104.682083129883
370,93.1493072509766
353,112.379295349121
355,134.289138793945
357,127.58129119873
343,87.4559173583984
345,106.60285949707
368,96.7171401977539
366,89.0399322509766
374,99.9948196411133
354,95.7251510620117
373,107.420082092285
375,122.994277954102
371,106.150657653809
356,116.81713104248
352,143.638153076172
367,133.594436645508
369,81.1189117431641
365,78.5437088012695
344,129.705215454102
377,262.900695800781
358,337.308654785156
346,302.772430419922
364,348.287261962891
348,327.493988037109
362,227.969833374023
381,289.711669921875
379,322.165710449219
350,278.304290771484
360,425.028503417969
359,236.052856445313
376,180.318161010742
363,298.63671875
378,259.921417236328
382,449.335754394531
349,289.347717285156
380,418.347106933594
351,297.053039550781
347,417.138305664063
361,279.280639648438
387,60.3589859008789
389,81.710563659668
408,64.1054916381836
404,62.546070098877
383,119.874130249023
385,79.6749725341797
406,103.938484191895
402,70.2092361450195
416,83.8081130981445
405,75.4841461181641
384,107.015884399414
388,83.0868606567383
403,84.9969100952148
386,83.0868606567383
407,95.8694610595703
409,79.8912200927734
417,100.711349487305
401,67.0701217651367
411,307.4794921875
415,331.998046875
396,277.995147705078
413,331.553863525391
394,274.075927734375
419,208.667129516602
390,293.753173828125
398,346.648223876953
400,300.459411621094
392,339.137786865234
393,312.564880371094
412,228.66650390625
414,258.923248291016
399,311.331176757813
395,327.73095703125
418,344.519958496094
410,195.550231933594
420,357.006103515625
397,320.433990478516
391,395.820373535156
423,98.5452270507813
429,137.458938598633
421,140.144561767578
425,193.556304931641
440,122.089363098145
438,161.78254699707
442,121.663963317871
427,132.350662231445
437,129.518325805664
424,172.826019287109
443,118.509269714355
441,107.35767364502
439,148.896255493164
428,134.310501098633
426,142.782241821289
422,180.836380004883
451,223.082305908203
432,231.094573974609
436,224.826995849609
430,232.856536865234
453,241.480834960938
445,239.362594604492
449,205.030914306641
434,204.329940795898
455,241.480834960938
447,120.740417480469
448,226.592330932617
452,231.056198120117
450,230.472717285156
456,248.949432373047
454,302.178741455078
435,244.120681762695
433,239.873153686523
446,191.713302612305
431,239.374450683594
444,181.078521728516
461,130.728866577148
477,60.4699554443359
479,74.7058029174805
457,77.0749130249023
459,96.6356811523438
463,90.8324508666992
465,86.5606307983398
481,94.723030090332
482,100.970886230469
476,105.613227844238
478,90.3910064697266
458,98.7994689941406
462,89.4395217895508
480,120.56884765625
464,94.7392196655273
460,164.665786743164
483,203.884918212891
466,181.12873840332
474,169.836135864258
487,207.962615966797
470,247.720184326172
485,249.555145263672
472,194.325729370117
489,222.002304077148
468,206.019058227539
473,306.066955566406
467,230.80192565918
486,209.8154296875
469,219.804061889648
484,205.757949829102
488,208.533264160156
471,179.493408203125
475,441.271301269531
490,227.365707397461
497,58.8181648254395
499,59.7093505859375
514,87.2946090698242
495,74.7444839477539
493,67.1952972412109
491,71.9949569702148
516,73.6831207275391
508,100.30899810791
515,78.4055557250977
498,70.9442901611328
523,65.259521484375
500,68.8325576782227
492,80.3821563720703
496,69.0016784667969
513,63.8656311035156
494,95.1344299316406
507,216.450347900391
520,189.650451660156
518,255.992004394531
501,216.421203613281
505,224.561233520508
510,221.558090209961
512,204.97575378418
503,215.438186645508
525,193.135894775391
522,231.267501831055
526,209.692337036133
502,231.273422241211
511,200.600784301758
517,175.399139404297
524,189.223693847656
504,235.573944091797
519,245.823944091797
506,199.255157470703
521,193.078262329102
509,217.2568359375
529,25.5036067962646
543,54.6964149475098
539,23.8379135131836
537,26.6528244018555
533,25.4791393280029
545,27.3697242736816
527,20.416633605957
541,15.2914695739746
531,22.2871627807617
535,27.2221775054932
534,26.2264709472656
532,19.1370525360107
542,21.0045928955078
530,26.1334857940674
540,26.5197124481201
536,24.0991439819336
528,19.0810966491699
544,20.7945690155029
555,19.4504089355469
538,47.7264175415039
546,69.32568359375
559,67.9349822998047
552,62.8613624572754
563,85.9177780151367
561,37.5890235900879
557,40.0078010559082
550,66.4656066894531
548,176.957565307617
554,68.4079513549805
558,59.3823890686035
547,67.8463973999023
560,64.0836029052734
562,50.7328567504883
549,65.4023818969727
556,86.108528137207
564,59.6999397277832
551,69.8616333007813
553,70.5602493286133
571,77.1212005615234
591,61.2916946411133
567,59.2423515319824
589,64.3938598632813
569,48.6225662231445
580,60.0429267883301
578,75.808967590332
565,58.9160499572754
579,59.5391540527344
590,67.8582229614258
568,73.0420227050781
577,86.9562454223633
570,72.2414703369141
592,74.9241027832031
588,80.2758178710938
566,76.7303085327148
593,154.380020141602
582,180.779968261719
597,163.444259643555
586,199.721115112305
574,156.989547729492
595,167.845199584961
576,161.384552001953
584,146.63069152832
572,131.780456542969
587,161.858535766602
598,182.050262451172
581,199.860107421875
596,149.954284667969
575,157.904235839844
585,153.474945068359
594,146.051620483398
573,174.556671142578
583,164.056716918945
